time,total_power
468.0,7517.9040488903
472.0,7510.109798238423
476.0,7505.864068639279
480.0,7506.496790361366
484.0,7516.64527156893
488.0,7518.144989042017
492.0,7508.882239824232
496.0,7508.445719699519
500.0,7506.340871192176
504.0,7508.796644399556
508.0,7508.41878425883
512.0,7505.892964251764
516.0,7504.283689143486
520.0,7508.259870113589
524.0,7513.755166774258
528.0,7517.379908996716
532.0,7508.1840549539
536.0,7504.526476311709
540.0,7507.988092045818
544.0,7518.670906632071
548.0,7522.96889650633
552.0,7516.016915103616
556.0,7516.964084026135
560.0,7519.40927813805
564.0,7529.6800924182635
568.0,7529.439528456722
572.0,7520.478663460303
576.0,7514.819603389027
580.0,7516.368767724325
584.0,7525.148636954539
588.0,7526.4727873446955
592.0,7518.244471018753
596.0,7519.229510518515
600.0,7514.524897132764
604.0,7516.041569697395
608.0,7512.600066346894
612.0,7506.415166685092
616.0,7503.8300066343945
620.0,7504.078168016497
624.0,7512.8431666077695
628.0,7509.194529355724
632.0,7506.258560368965
636.0,7503.135464346886
640.0,7504.841907598848
644.0,7510.428491612473
648.0,7510.498160276225
652.0,7500.747718587316
656.0,7495.444955697467
660.0,7495.960916063228
664.0,7505.035927235551
668.0,7509.4068804874
672.0,7500.5753396245145
676.0,7495.165213466477
680.0,7496.894219238901
684.0,7505.594266757494
688.0,7501.999714421393
692.0,7496.628523473459
696.0,7498.852185542682
700.0,7496.296814975524
704.0,7506.274207068717
708.0,7509.816557205425
712.0,7501.107141194362
716.0,7502.578667620251
720.0,7499.527150429628
724.0,7501.13648484331
728.0,7504.089936046321
732.0,7495.425343786918
736.0,7497.944938088144
740.0,7500.2992969467805
744.0,7496.454048063126
748.0,7497.3738758050895
752.0,7500.016688619977
756.0,7501.332536012407
760.0,7500.045678660776
764.0,7496.8636817229635
768.0,7498.4767280130245
772.0,7502.727973143948
776.0,7500.605779627435
780.0,7502.435837582816
784.0,7500.123360923183
788.0,7498.520664058599
792.0,7502.574606069909
796.0,7506.607965345795
800.0,7510.417829108325
804.0,7508.22039052536
808.0,7506.831905735343
812.0,7509.009958526709
816.0,7505.662106104416
820.0,7509.491170623116
824.0,7513.428657556922
828.0,7512.6007060498705
832.0,7508.641575002295
836.0,7505.594298891276
840.0,7508.786150091981
844.0,7506.114115569191
848.0,7505.149269242655
852.0,7502.863938244784
856.0,7499.856225568168
860.0,7496.305487274203
864.0,7496.790190545764
868.0,7498.747804783791
872.0,7497.1646613357225
876.0,7500.460498425072
880.0,7503.345697716257
884.0,7500.149430956872
888.0,7503.257122595745
892.0,7499.758144735598
896.0,7494.697086385894
900.0,7495.1642824031305
904.0,7496.63601528888
908.0,7501.464813630639
912.0,7507.150760306839
916.0,7511.011269495725
920.0,7516.398763431798
924.0,7518.654245006328
928.0,7519.398341680807
932.0,7523.505796357557
936.0,7529.38067483016
940.0,7526.987623203378
944.0,7529.8225369545335
948.0,7528.900629866075
952.0,7530.959665966818
956.0,7532.257701719984
960.0,7530.85383285491
964.0,7532.160351218091
968.0,7531.9824952006775
972.0,7530.325031205031
976.0,7531.903605477826
980.0,7529.967605979304
984.0,7533.069249619885
988.0,7529.360472423563
992.0,7531.621255589973
996.0,7528.15980118882
1000.0,7527.04021436266
