filename,numNodes,area,compromisedMW,compromisedMvar,meanDelay,stdDelay,initialTotalDemand,finalTotalDemand,finalDemandPercentage,generationCapacityTripped,loadsShed,overVoltageLoads,underVoltageLoads,compromisedPV
rms_L(23)_(25)_(34)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15988.379261697944,1.0272007235270122,0.0,0.0,0.0,0.0,0
rms_L(26)_(30)_(40)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15988.39966731952,1.02720203452101,0.0,0.0,0.0,0.0,0
rms_L(30)_(33)_(35)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15989.903254312523,1.027298635034534,0.0,0.0,0.0,0.0,0
rms_L(31)_(32)_(35)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15930.338626980125,1.023471803853525,0.0,0.0,0.0,0.0,0
rms_L(34)_(35)_(37)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15965.614392501511,1.0257381556377458,0.0,0.0,0.0,0.0,0
rms_L(28)_(34)_(36)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15952.072686337324,1.0248681456047108,0.0,0.0,0.0,0.0,0
rms_L(34)_(40)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15985.28550770746,1.0270019600197533,0.0,0.0,0.0,0.0,0
rms_L(24)_(27)_(28)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15899.163968330313,1.02146893468232,0.0,0.0,0.0,0.0,0
rms_L(28)_(30)_(34)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15931.340131604671,1.0235361472280546,0.0,0.0,0.0,0.0,0
rms_L(25)_(26)_(31)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15873.724805500788,1.0198345522326238,0.0,0.0,0.0,0.0,0
rms_L(28)_(31)_(40)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15950.26609606562,1.024752078128212,0.0,0.0,0.0,0.0,0
rms_L(23)_(34)_(40)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16024.198778005886,1.029502009508891,0.0,0.0,0.0,0.0,0
rms_L(26)_(39)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15930.50892472292,1.0234827449227704,0.0,0.0,0.0,0.0,0
rms_L(29)_(37)_(39)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15953.586264120564,1.0249653879936116,0.0,0.0,0.0,0.0,0
rms_L(25)_(32)_(33)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15941.168819942874,1.024167608091415,0.0,0.0,0.0,0.0,0
rms_L(24)_(30)_(40)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15962.022960558272,1.0255074179606984,0.0,0.0,0.0,0.0,0
rms_L(23)_(37)_(39)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16019.918431475136,1.0292270113379465,0.0,0.0,0.0,0.0,0
rms_L(27)_(30)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15849.338654416766,1.0182678223203834,0.0,0.0,0.0,0.0,0
rms_L(26)_(27)_(30)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15812.342668968742,1.0158909520699482,0.0,0.0,0.0,0.0,0
rms_L(36)_(37)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15960.80893083814,1.0254294205485472,0.0,0.0,0.0,0.0,0
rms_L(25)_(27)_(40)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15945.406250455526,1.0244398490495037,0.0,0.0,0.0,0.0,0
rms_L(31)_(40)_(42)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15942.01915222374,1.0242222391406193,0.0,0.0,0.0,0.0,0
rms_L(30)_(32)_(35)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15962.85884196053,1.0255611205885338,0.0,0.0,0.0,0.0,0
rms_L(26)_(27)_(33)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15979.16439565329,1.026608698724914,0.0,0.0,0.0,0.0,0
rms_L(23)_(32)_(39)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16007.969606313924,1.028459338664563,0.0,0.0,0.0,0.0,0
rms_L(33)_(40)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15989.632215310205,1.0272812216710698,0.0,0.0,0.0,0.0,0
rms_L(28)_(38)_(42)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15990.74191561369,1.0273525162617212,0.0,0.0,0.0,0.0,0
rms_L(27)_(34)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15935.988744775075,1.0238348053180262,0.0,0.0,0.0,0.0,0
rms_L(33)_(34)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15936.324166224344,1.023856355041718,0.0,0.0,0.0,0.0,0
rms_L(26)_(37)_(39)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15953.121966653694,1.0249355584101314,0.0,0.0,0.0,0.0,0
rms_L(27)_(35)_(42)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15957.8745170039,1.0252408941216768,0.0,0.0,0.0,0.0,0
rms_L(28)_(34)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15935.857317151358,1.0238263615259466,0.0,0.0,0.0,0.0,0
rms_L(37)_(39)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15905.240105328272,1.0218593064778845,0.0,0.0,0.0,0.0,0
rms_L(26)_(29)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15842.887129559364,1.0178533330908683,0.0,0.0,0.0,0.0,0
rms_L(30)_(38)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16033.02529612948,1.030069084235752,0.0,0.0,0.0,0.0,0
rms_L(23)_(24)_(34)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15999.17609031034,1.027894384215248,0.0,0.0,0.0,0.0,0
rms_L(39)_(41)_(42)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15917.180355143098,1.022626428213498,0.0,0.0,0.0,0.0,0
rms_L(29)_(31)_(42)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15890.298765769678,1.020899374607753,0.0,0.0,0.0,0.0,0
rms_L(32)_(34)_(41)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15930.243142777665,1.023465669307913,0.0,0.0,0.0,0.0,0
rms_L(24)_(34)_(40)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15971.284549322052,1.026102444543659,0.0,0.0,0.0,0.0,0
rms_L(26)_(32)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15886.50309406567,1.0206555151985657,0.0,0.0,0.0,0.0,0
rms_L(30)_(31)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15855.059764605969,1.018635384812462,0.0,0.0,0.0,0.0,0
rms_L(26)_(28)_(33)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15977.955662691154,1.026531041612024,0.0,0.0,0.0,0.0,0
rms_L(23)_(26)_(32)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16035.090945365326,1.030201795397708,0.0,0.0,0.0,0.0,0
rms_L(35)_(36)_(40)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15997.583916446114,1.027792092286933,0.0,0.0,0.0,0.0,0
rms_L(24)_(33)_(37)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15955.49074007616,1.0250877443029978,0.0,0.0,0.0,0.0,0
rms_L(27)_(30)_(42)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15902.092407638616,1.021657077265571,0.0,0.0,0.0,0.0,0
rms_L(28)_(30)_(37)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15967.540816447852,1.0258619220332703,0.0,0.0,0.0,0.0,0
rms_L(26)_(35)_(39)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15966.64839682176,1.0258045870107138,0.0,0.0,0.0,0.0,0
rms_L(32)_(36)_(39)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15962.894038562548,1.0255633818543235,0.0,0.0,0.0,0.0,0
rms_L(33)_(41)_(42)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15938.27377933485,1.023981611264687,0.0,0.0,0.0,0.0,0
rms_L(28)_(38)_(39)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16000.453837453331,1.0279764752620195,0.0,0.0,0.0,0.0,0
rms_L(23)_(33)_(37)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,16044.29599086981,1.0307931892624356,0.0,0.0,0.0,0.0,0
rms_L(27)_(37)_(39)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15953.16029174175,1.024938020670848,0.0,0.0,0.0,0.0,0
rms_L(25)_(35)_(43)_S_.csv,3,C,600,84.00000000000001,0,0,15565.0,15907.964957892416,1.022034369283162,0.0,0.0,0.0,0.0,0
